algorithm,n,z,target,seed,elapsed_ms,operations,iterations,nodes_count,mismatch
Binary Lifting,180,10,0,222,0.202900,2149,2149,12,no
Basic BFS,180,20,0,222,0.045300,538,538,0,no
TwoWays BFS,180,20,0,222,0.767200,6553,6553,0,no
LCA,180,20,0,222,0.129900,1548,1548,0,no
Binary Lifting,180,20,0,222,0.184700,2149,2149,0,no
Basic BFS,190,1,0,232,0.002700,5,5,2,no
TwoWays BFS,190,1,0,232,0.855300,7275,7275,2,no
LCA,190,1,0,232,0.135400,1684,1684,2,no
Binary Lifting,190,1,0,232,0.199700,2262,2262,2,no
Basic BFS,190,5,0,232,0.014100,123,123,19,no
TwoWays BFS,190,5,0,232,0.848300,7275,7275,19,no
LCA,190,5,0,232,0.137900,1684,1684,19,no
Binary Lifting,190,5,0,232,0.197300,2262,2262,19,no
Basic BFS,190,10,0,232,0.056000,534,534,13,no
TwoWays BFS,190,10,0,232,1.036500,7275,7275,13,no
LCA,190,10,0,232,0.159400,1684,1684,13,no
Binary Lifting,190,10,0,232,0.214000,2262,2262,13,no
Basic BFS,190,20,0,232,0.046300,568,568,0,no
TwoWays BFS,190,20,0,232,0.831400,7275,7275,0,no
LCA,190,20,0,232,0.136500,1684,1684,0,no
Binary Lifting,190,20,0,232,0.195000,2262,2262,0,no
Basic BFS,200,1,0,242,0.002600,5,5,2,no
TwoWays BFS,200,1,0,242,1.296900,12131,12131,2,no
LCA,200,1,0,242,0.149000,2009,2009,2,no
Binary Lifting,200,1,0,242,0.204100,2414,2414,2,no
Basic BFS,200,5,0,242,0.014200,126,126,19,no
TwoWays BFS,200,5,0,242,1.325500,12131,12131,19,no
LCA,200,5,0,242,0.153900,2009,2009,19,no
Binary Lifting,200,5,0,242,0.206600,2414,2414,19,no
Basic BFS,200,10,0,242,0.038900,422,422,26,no
TwoWays BFS,200,10,0,242,1.314800,12131,12131,26,no
LCA,200,10,0,242,0.167300,2009,2009,26,no
Binary Lifting,200,10,0,242,0.225900,2414,2414,26,no
Basic BFS,200,20,0,242,0.049000,598,598,0,no
TwoWays BFS,200,20,0,242,1.297700,12131,12131,0,no
LCA,200,20,0,242,0.153100,2009,2009,0,no
Binary Lifting,200,20,0,242,0.202800,2414,2414,0,no
Basic BFS,210,1,0,252,0.003100,5,5,2,no
TwoWays BFS,210,1,0,252,1.182400,7880,7880,2,no
LCA,210,1,0,252,0.200400,1839,1839,2,no
Binary Lifting,210,1,0,252,0.229400,2513,2513,2,no
Basic BFS,210,5,0,252,0.015500,138,138,25,no
TwoWays BFS,210,5,0,252,0.903300,7880,7880,25,no
LCA,210,5,0,252,0.147100,1839,1839,25,no
Binary Lifting,210,5,0,252,0.215700,2513,2513,25,no
Basic BFS,210,10,0,252,0.048000,593,593,11,no
TwoWays BFS,210,10,0,252,0.901600,7880,7880,11,no
LCA,210,10,0,252,0.150000,1839,1839,11,no
Binary Lifting,210,10,0,252,0.220200,2513,2513,11,no
Basic BFS,210,20,0,252,0.062400,628,628,0,no
TwoWays BFS,210,20,0,252,0.885700,7880,7880,0,no
LCA,210,20,0,252,0.148300,1839,1839,0,no
Binary Lifting,210,20,0,252,0.213800,2513,2513,0,no
Basic BFS,220,1,0,262,0.002500,5,5,2,no
TwoWays BFS,220,1,0,262,1.276700,11640,11640,2,no
LCA,220,1,0,262,0.165900,2142,2142,2,no
Binary Lifting,220,1,0,262,0.231000,2648,2648,2,no
Basic BFS,220,5,0,262,0.014600,123,123,19,no
TwoWays BFS,220,5,0,262,1.278000,11640,11640,19,no
LCA,220,5,0,262,0.174700,2142,2142,19,no
Binary Lifting,220,5,0,262,0.225300,2648,2648,19,no
Basic BFS,220,10,0,262,0.048600,515,515,26,no
TwoWays BFS,220,10,0,262,1.271200,11640,11640,26,no
LCA,220,10,0,262,0.176500,2142,2142,26,no
Binary Lifting,220,10,0,262,0.228200,2648,2648,26,no
Basic BFS,220,20,0,262,0.054400,658,658,0,no
TwoWays BFS,220,20,0,262,1.282500,11640,11640,0,no
LCA,220,20,0,262,0.168300,2142,2142,0,no
Binary Lifting,220,20,0,262,0.230300,2648,2648,0,no
Basic BFS,230,1,0,272,0.002400,5,5,2,no
TwoWays BFS,230,1,0,272,1.388700,11769,11769,2,no
LCA,230,1,0,272,0.169000,2215,2215,2,no
Binary Lifting,230,1,0,272,0.240100,2772,2772,2,no
Basic BFS,230,5,0,272,0.013900,112,112,18,no
TwoWays BFS,230,5,0,272,1.493200,11769,11769,18,no
LCA,230,5,0,272,0.190800,2215,2215,18,no
Binary Lifting,230,5,0,272,0.238400,2772,2772,18,no
Basic BFS,230,10,0,272,0.060200,566,566,23,no
TwoWays BFS,230,10,0,272,1.597600,11769,11769,23,no
LCA,230,10,0,272,0.217300,2215,2215,23,no
Binary Lifting,230,10,0,272,0.296200,2772,2772,23,no
Basic BFS,230,20,0,272,0.055700,688,688,0,no
TwoWays BFS,230,20,0,272,1.278400,11769,11769,0,no
LCA,230,20,0,272,0.170700,2215,2215,0,no
Binary Lifting,230,20,0,272,0.233300,2772,2772,0,no
Basic BFS,240,1,0,282,0.002700,5,5,2,no
