algorithm,n,z,target,seed,elapsed_ms,operations,iterations,nodes_count,mismatch
TwoWays BFS,600,1,0,642,5.488200,51076,51076,2,no
LCA,600,1,0,642,0.524800,7133,7133,2,no
Binary Lifting,600,1,0,642,0.747200,8568,8568,2,no
Basic BFS,600,5,0,642,0.026600,139,139,24,no
TwoWays BFS,600,5,0,642,5.750000,51076,51076,24,no
LCA,600,5,0,642,0.556200,7133,7133,24,no
Binary Lifting,600,5,0,642,0.738100,8568,8568,24,no
Basic BFS,600,10,0,642,0.106700,929,929,83,no
TwoWays BFS,600,10,0,642,5.799500,51076,51076,83,no
LCA,600,10,0,642,0.546500,7133,7133,83,no
Binary Lifting,600,10,0,642,0.745600,8568,8568,83,no
Basic BFS,600,20,0,642,0.155700,1798,1798,0,no
TwoWays BFS,600,20,0,642,5.489600,51076,51076,0,no
LCA,600,20,0,642,0.554500,7133,7133,0,no
Binary Lifting,600,20,0,642,0.727100,8568,8568,0,no
Basic BFS,610,1,0,652,0.002600,5,5,2,no
TwoWays BFS,610,1,0,652,5.574400,51860,51860,2,no
LCA,610,1,0,652,0.545300,7355,7355,2,no
Binary Lifting,610,1,0,652,0.743000,8696,8696,2,no
Basic BFS,610,5,0,652,0.030200,121,121,21,no
TwoWays BFS,610,5,0,652,5.565800,51860,51860,21,no
LCA,610,5,0,652,0.579800,7355,7355,21,no
Binary Lifting,610,5,0,652,0.740200,8696,8696,21,no
Basic BFS,610,10,0,652,0.111500,898,898,84,no
TwoWays BFS,610,10,0,652,5.831600,51860,51860,84,no
LCA,610,10,0,652,0.577800,7355,7355,84,no
Binary Lifting,610,10,0,652,0.748200,8696,8696,84,no
Basic BFS,610,20,0,652,0.179600,1828,1828,0,no
TwoWays BFS,610,20,0,652,5.540500,51860,51860,0,no
LCA,610,20,0,652,0.570200,7355,7355,0,no
Binary Lifting,610,20,0,652,0.748100,8696,8696,0,no
Basic BFS,620,1,0,662,0.002500,5,5,2,no
TwoWays BFS,620,1,0,662,4.783700,42787,42787,2,no
LCA,620,1,0,662,0.536500,7061,7061,2,no
Binary Lifting,620,1,0,662,0.749000,8787,8787,2,no
Basic BFS,620,5,0,662,0.028200,117,117,22,no
TwoWays BFS,620,5,0,662,4.725700,42787,42787,22,no
LCA,620,5,0,662,0.549400,7061,7061,22,no
Binary Lifting,620,5,0,662,0.740700,8787,8787,22,no
Basic BFS,620,10,0,662,0.131100,1146,1146,100,no
TwoWays BFS,620,10,0,662,4.866300,42787,42787,100,no
LCA,620,10,0,662,0.600700,7061,7061,100,no
Binary Lifting,620,10,0,662,0.757100,8787,8787,100,no
Basic BFS,620,20,0,662,0.166700,1858,1858,0,no
TwoWays BFS,620,20,0,662,4.744600,42787,42787,0,no
LCA,620,20,0,662,0.551200,7061,7061,0,no
Binary Lifting,620,20,0,662,0.748800,8787,8787,0,no
Basic BFS,630,1,0,672,0.002800,5,5,2,no
TwoWays BFS,630,1,0,672,5.639600,51993,51993,2,no
LCA,630,1,0,672,0.540400,7289,7289,2,no
Binary Lifting,630,1,0,672,0.786300,8958,8958,2,no
Basic BFS,630,5,0,672,0.033800,144,144,28,no
TwoWays BFS,630,5,0,672,5.593400,51993,51993,28,no
LCA,630,5,0,672,0.560000,7289,7289,28,no
Binary Lifting,630,5,0,672,0.757800,8958,8958,28,no
Basic BFS,630,10,0,672,0.123700,1040,1040,89,no
TwoWays BFS,630,10,0,672,5.679900,51993,51993,89,no
LCA,630,10,0,672,0.564800,7289,7289,89,no
Binary Lifting,630,10,0,672,0.774700,8958,8958,89,no
Basic BFS,630,20,0,672,0.171300,1888,1888,0,no
TwoWays BFS,630,20,0,672,5.637400,51993,51993,0,no
LCA,630,20,0,672,0.584000,7289,7289,0,no
Binary Lifting,630,20,0,672,0.761100,8958,8958,0,no
Basic BFS,640,1,0,682,0.002600,5,5,2,no
TwoWays BFS,640,1,0,682,6.481300,59852,59852,2,no
LCA,640,1,0,682,0.558700,7594,7594,2,no
Binary Lifting,640,1,0,682,0.790400,9126,9126,2,no
Basic BFS,640,5,0,682,0.031300,143,143,26,no
TwoWays BFS,640,5,0,682,6.454600,59852,59852,26,no
LCA,640,5,0,682,0.576100,7594,7594,26,no
Binary Lifting,640,5,0,682,0.772800,9126,9126,26,no
Basic BFS,640,10,0,682,0.102300,999,999,79,no
TwoWays BFS,640,10,0,682,6.734500,59852,59852,79,no
LCA,640,10,0,682,0.593100,7594,7594,79,no
Binary Lifting,640,10,0,682,0.780700,9126,9126,79,no
Basic BFS,640,20,0,682,0.211000,1918,1918,0,no
TwoWays BFS,640,20,0,682,6.586100,59852,59852,0,no
LCA,640,20,0,682,0.575400,7594,7594,0,no
Binary Lifting,640,20,0,682,0.766700,9126,9126,0,no
Basic BFS,650,1,0,692,0.002700,5,5,2,no
TwoWays BFS,650,1,0,692,6.297900,59508,59508,2,no
LCA,650,1,0,692,0.580200,7780,7780,2,no
Binary Lifting,650,1,0,692,0.781300,9268,9268,2,no
Basic BFS,650,5,0,692,0.031500,142,142,27,no
TwoWays BFS,650,5,0,692,6.291200,59508,59508,27,no
LCA,650,5,0,692,0.594300,7780,7780,27,no
Binary Lifting,650,5,0,692,0.847700,9268,9268,27,no
Basic BFS,650,10,0,692,0.109400,986,986,80,no
TwoWays BFS,650,10,0,692,6.312100,59508,59508,80,no
LCA,650,10,0,692,0.572400,7780,7780,80,no
Binary Lifting,650,10,0,692,0.797600,9268,9268,80,no
Basic BFS,650,20,0,692,0.183300,1947,1947,1,no
TwoWays BFS,650,20,0,692,6.322200,59508,59508,1,no
LCA,650,20,0,692,0.602300,7780,7780,1,no
Binary Lifting,650,20,0,692,0.797000,9268,9268,1,no
Basic BFS,660,1,0,702,0.002500,5,5,2,no
TwoWays BFS,660,1,0,702,7.410300,69091,69091,2,no
LCA,660,1,0,702,0.590500,8054,8054,2,no
Binary Lifting,660,1,0,702,0.810500,9407,9407,2,no
Basic BFS,660,5,0,702,0.031600,141,141,28,no
TwoWays BFS,660,5,0,702,7.316200,69091,69091,28,no
LCA,660,5,0,702,0.622200,8054,8054,28,no
Binary Lifting,660,5,0,702,0.799100,9407,9407,28,no
Basic BFS,660,10,0,702,0.101400,1026,1026,64,no
TwoWays BFS,660,10,0,702,7.342100,69091,69091,64,no
LCA,660,10,0,702,0.617100,8054,8054,64,no
Binary Lifting,660,10,0,702,0.814800,9407,9407,64,no
Basic BFS,660,20,0,702,0.185200,1978,1978,0,no
TwoWays BFS,660,20,0,702,7.345000,69091,69091,0,no
LCA,660,20,0,702,0.615700,8054,8054,0,no
Binary Lifting,660,20,0,702,0.813700,9407,9407,0,no
Basic BFS,670,1,0,712,0.002600,5,5,2,no
TwoWays BFS,670,1,0,712,6.614700,61742,61742,2,no
LCA,670,1,0,712,0.580400,7830,7830,2,no
Binary Lifting,670,1,0,712,0.823200,9501,9501,2,no
Basic BFS,670,5,0,712,0.032000,149,149,29,no
TwoWays BFS,670,5,0,712,6.639800,61742,61742,29,no
LCA,670,5,0,712,0.600900,7830,7830,29,no
Binary Lifting,670,5,0,712,0.809800,9501,9501,29,no
Basic BFS,670,10,0,712,0.119900,1160,1160,80,no
TwoWays BFS,670,10,0,712,6.607900,61742,61742,80,no
LCA,670,10,0,712,0.605500,7830,7830,80,no
Binary Lifting,670,10,0,712,0.823900,9501,9501,80,no
Basic BFS,670,20,0,712,0.181200,2008,2008,0,no
TwoWays BFS,670,20,0,712,6.601500,61742,61742,0,no
LCA,670,20,0,712,0.595700,7830,7830,0,no
Binary Lifting,670,20,0,712,0.800600,9501,9501,0,no
Basic BFS,680,1,0,722,0.002700,5,5,2,no
TwoWays BFS,680,1,0,722,6.300100,58275,58275,2,no
LCA,680,1,0,722,0.589300,7820,7820,2,no
Binary Lifting,680,1,0,722,0.819400,9684,9684,2,no
Basic BFS,680,5,0,722,0.032400,145,145,27,no
TwoWays BFS,680,5,0,722,6.385900,58275,58275,27,no
LCA,680,5,0,722,0.631000,7820,7820,27,no
Binary Lifting,680,5,0,722,0.835000,9684,9684,27,no
Basic BFS,680,10,0,722,0.122900,1144,1144,90,no
TwoWays BFS,680,10,0,722,6.312700,58275,58275,90,no
LCA,680,10,0,722,0.660700,7820,7820,90,no
Binary Lifting,680,10,0,722,0.841000,9684,9684,90,no
Basic BFS,680,20,0,722,0.200700,2038,2038,0,no
TwoWays BFS,680,20,0,722,6.453200,58275,58275,0,no
LCA,680,20,0,722,0.627800,7820,7820,0,no
Binary Lifting,680,20,0,722,0.825700,9684,9684,0,no
Basic BFS,690,1,0,732,0.002500,5,5,2,no
TwoWays BFS,690,1,0,732,6.107900,56063,56063,2,no
LCA,690,1,0,732,0.622100,8053,8053,2,no
Binary Lifting,690,1,0,732,0.841300,9815,9815,2,no
Basic BFS,690,5,0,732,0.024500,127,127,24,no
TwoWays BFS,690,5,0,732,6.436300,56063,56063,24,no
LCA,690,5,0,732,0.626000,8053,8053,24,no
Binary Lifting,690,5,0,732,0.845000,9815,9815,24,no
Basic BFS,690,10,0,732,0.119900,1158,1158,94,no
TwoWays BFS,690,10,0,732,6.131800,56063,56063,94,no
LCA,690,10,0,732,0.630300,8053,8053,94,no
Binary Lifting,690,10,0,732,0.891200,9815,9815,94,no
Basic BFS,690,20,0,732,0.185800,2068,2068,0,no
TwoWays BFS,690,20,0,732,6.101400,56063,56063,0,no
LCA,690,20,0,732,0.623300,8053,8053,0,no
Binary Lifting,690,20,0,732,0.895600,9815,9815,0,no
Basic BFS,700,1,0,742,0.002800,5,5,2,no
TwoWays BFS,700,1,0,742,5.516900,49807,49807,2,no
LCA,700,1,0,742,0.599600,7805,7805,2,no
Binary Lifting,700,1,0,742,0.850200,9904,9904,2,no
Basic BFS,700,5,0,742,0.032500,144,144,28,no
TwoWays BFS,700,5,0,742,5.541800,49807,49807,28,no
LCA,700,5,0,742,0.621800,7805,7805,28,no
Binary Lifting,700,5,0,742,0.839600,9904,9904,28,no
Basic BFS,700,10,0,742,0.135200,1355,1355,113,no
TwoWays BFS,700,10,0,742,5.700000,49807,49807,113,no
LCA,700,10,0,742,0.635300,7805,7805,113,no
Binary Lifting,700,10,0,742,0.904900,9904,9904,113,no
Basic BFS,700,20,0,742,0.196700,2098,2098,0,no
TwoWays BFS,700,20,0,742,5.502400,49807,49807,0,no
LCA,700,20,0,742,0.616200,7805,7805,0,no
Binary Lifting,700,20,0,742,0.833000,9904,9904,0,no
Basic BFS,710,1,0,752,0.002500,5,5,2,no
TwoWays BFS,710,1,0,752,6.316200,58428,58428,2,no
LCA,710,1,0,752,0.628700,8331,8331,2,no
Binary Lifting,710,1,0,752,0.871800,10090,10090,2,no
Basic BFS,710,5,0,752,0.031100,149,149,29,no
TwoWays BFS,710,5,0,752,6.300800,58428,58428,29,no
LCA,710,5,0,752,0.647500,8331,8331,29,no
Binary Lifting,710,5,0,752,0.867700,10090,10090,29,no
Basic BFS,710,10,0,752,0.144400,1169,1169,95,no
TwoWays BFS,710,10,0,752,6.477600,58428,58428,95,no
LCA,710,10,0,752,0.660300,8331,8331,95,no
Binary Lifting,710,10,0,752,0.867100,10090,10090,95,no
Basic BFS,710,20,0,752,0.230500,2128,2128,0,no
TwoWays BFS,710,20,0,752,6.836700,58428,58428,0,no
LCA,710,20,0,752,0.643500,8331,8331,0,no
Binary Lifting,710,20,0,752,0.899200,10090,10090,0,no
Basic BFS,720,1,0,762,0.002600,5,5,2,no
TwoWays BFS,720,1,0,762,5.551100,50422,50422,2,no
LCA,720,1,0,762,0.621700,7954,7954,2,no
Binary Lifting,720,1,0,762,0.882100,10168,10168,2,no
Basic BFS,720,5,0,762,0.024500,153,153,31,no
TwoWays BFS,720,5,0,762,5.684900,50422,50422,31,no
LCA,720,5,0,762,0.664200,7954,7954,31,no
Binary Lifting,720,5,0,762,0.868800,10168,10168,31,no
Basic BFS,720,10,0,762,0.144000,1427,1427,101,no
TwoWays BFS,720,10,0,762,5.540200,50422,50422,101,no
LCA,720,10,0,762,0.652400,7954,7954,101,no
Binary Lifting,720,10,0,762,0.921600,10168,10168,101,no
Basic BFS,720,20,0,762,0.187900,2158,2158,0,no
TwoWays BFS,720,20,0,762,5.583000,50422,50422,0,no
LCA,720,20,0,762,0.640900,7954,7954,0,no
Binary Lifting,720,20,0,762,0.873700,10168,10168,0,no
Basic BFS,730,1,0,772,0.002600,5,5,2,no
TwoWays BFS,730,1,0,772,6.480500,60214,60214,2,no
LCA,730,1,0,772,0.638200,8433,8433,2,no
Binary Lifting,730,1,0,772,0.896900,10381,10381,2,no
Basic BFS,730,5,0,772,0.027700,149,149,29,no
TwoWays BFS,730,5,0,772,6.809700,60214,60214,29,no
LCA,730,5,0,772,0.669600,8433,8433,29,no
Binary Lifting,730,5,0,772,0.990300,10381,10381,29,no
Basic BFS,730,10,0,772,0.134200,1270,1270,96,no
TwoWays BFS,730,10,0,772,6.500800,60214,60214,96,no
LCA,730,10,0,772,0.672700,8433,8433,96,no
Binary Lifting,730,10,0,772,0.926600,10381,10381,96,no
Basic BFS,730,20,0,772,0.195000,2188,2188,0,no
TwoWays BFS,730,20,0,772,6.496300,60214,60214,0,no
LCA,730,20,0,772,0.665100,8433,8433,0,no
Binary Lifting,730,20,0,772,0.878400,10381,10381,0,no
Basic BFS,740,1,0,782,0.002600,5,5,2,no
TwoWays BFS,740,1,0,782,7.671400,70506,70506,2,no
LCA,740,1,0,782,0.683100,9165,9165,2,no
Binary Lifting,740,1,0,782,0.960800,10616,10616,2,no
Basic BFS,740,5,0,782,0.021100,129,129,25,no
TwoWays BFS,740,5,0,782,7.635100,70506,70506,25,no
LCA,740,5,0,782,0.707000,9165,9165,25,no
Binary Lifting,740,5,0,782,0.901500,10616,10616,25,no
Basic BFS,740,10,0,782,0.107000,1000,1000,99,no
TwoWays BFS,740,10,0,782,7.764300,70506,70506,99,no
LCA,740,10,0,782,0.700500,9165,9165,99,no
Binary Lifting,740,10,0,782,0.947600,10616,10616,99,no
Basic BFS,740,20,0,782,0.197700,2218,2218,0,no
TwoWays BFS,740,20,0,782,7.596900,70506,70506,0,no
LCA,740,20,0,782,0.689800,9165,9165,0,no
Binary Lifting,740,20,0,782,0.903500,10616,10616,0,no
Basic BFS,750,1,0,792,0.002500,5,5,2,no
TwoWays BFS,750,1,0,792,7.437700,68347,68347,2,no
LCA,750,1,0,792,0.693100,8858,8858,2,no
Binary Lifting,750,1,0,792,0.916000,10691,10691,2,no
Basic BFS,750,5,0,792,0.030100,130,130,21,no
TwoWays BFS,750,5,0,792,7.422400,68347,68347,21,no
LCA,750,5,0,792,0.674400,8858,8858,21,no
Binary Lifting,750,5,0,792,0.904800,10691,10691,21,no
Basic BFS,750,10,0,792,0.132100,1204,1204,111,no
TwoWays BFS,750,10,0,792,7.425100,68347,68347,111,no
LCA,750,10,0,792,0.704300,8858,8858,111,no
Binary Lifting,750,10,0,792,0.910700,10691,10691,111,no
Basic BFS,750,20,0,792,0.204600,2248,2248,0,no
TwoWays BFS,750,20,0,792,7.418500,68347,68347,0,no
LCA,750,20,0,792,0.700600,8858,8858,0,no
Binary Lifting,750,20,0,792,0.936600,10691,10691,0,no
Basic BFS,760,1,0,802,0.002700,5,5,2,no
TwoWays BFS,760,1,0,802,7.888100,72488,72488,2,no
LCA,760,1,0,802,0.726500,9261,9261,2,no
Binary Lifting,760,1,0,802,0.930000,10828,10828,2,no
Basic BFS,760,5,0,802,0.030300,129,129,22,no
TwoWays BFS,760,5,0,802,7.842600,72488,72488,22,no
LCA,760,5,0,802,0.724100,9261,9261,22,no
Binary Lifting,760,5,0,802,0.969100,10828,10828,22,no
Basic BFS,760,10,0,802,0.123100,1151,1151,98,no
TwoWays BFS,760,10,0,802,7.817900,72488,72488,98,no
LCA,760,10,0,802,0.741600,9261,9261,98,no
Binary Lifting,760,10,0,802,0.945700,10828,10828,98,no
Basic BFS,760,20,0,802,0.206600,2278,2278,0,no
TwoWays BFS,760,20,0,802,7.792000,72488,72488,0,no
LCA,760,20,0,802,0.736500,9261,9261,0,no
Binary Lifting,760,20,0,802,0.967700,10828,10828,0,no
Basic BFS,770,1,0,812,0.002700,5,5,2,no
TwoWays BFS,770,1,0,812,8.358500,79098,79098,2,no
LCA,770,1,0,812,0.766900,9790,9790,2,no
Binary Lifting,770,1,0,812,0.981100,11030,11030,2,no
Basic BFS,770,5,0,812,0.024700,105,105,16,no
TwoWays BFS,770,5,0,812,8.360800,79098,79098,16,no
LCA,770,5,0,812,0.752200,9790,9790,16,no
Binary Lifting,770,5,0,812,0.977700,11030,11030,16,no
Basic BFS,770,10,0,812,0.109500,963,963,94,no
TwoWays BFS,770,10,0,812,8.327000,79098,79098,94,no
LCA,770,10,0,812,0.775100,9790,9790,94,no
Binary Lifting,770,10,0,812,0.977700,11030,11030,94,no
Basic BFS,770,20,0,812,0.317200,2308,2308,0,no
TwoWays BFS,770,20,0,812,8.566500,79098,79098,0,no
LCA,770,20,0,812,0.752800,9790,9790,0,no
Binary Lifting,770,20,0,812,0.977300,11030,11030,0,no
Basic BFS,780,1,0,822,0.002700,5,5,2,no
TwoWays BFS,780,1,0,822,13.446900,128172,128172,2,no
LCA,780,1,0,822,0.781800,10756,10756,2,no
Binary Lifting,780,1,0,822,0.993400,11190,11190,2,no
Basic BFS,780,5,0,822,0.031400,147,147,28,no
TwoWays BFS,780,5,0,822,13.517300,128172,128172,28,no
LCA,780,5,0,822,0.808900,10756,10756,28,no
Binary Lifting,780,5,0,822,0.999800,11190,11190,28,no
Basic BFS,780,10,0,822,0.100500,868,868,54,no
TwoWays BFS,780,10,0,822,13.476100,128172,128172,54,no
LCA,780,10,0,822,0.799100,10756,10756,54,no
Binary Lifting,780,10,0,822,0.977800,11190,11190,54,no
Basic BFS,780,20,0,822,0.210400,2327,2327,8,no
TwoWays BFS,780,20,0,822,13.427200,128172,128172,8,no
LCA,780,20,0,822,0.799700,10756,10756,8,no
Binary Lifting,780,20,0,822,0.985900,11190,11190,8,no
Basic BFS,790,1,0,832,0.003000,5,5,2,no
TwoWays BFS,790,1,0,832,8.693300,81605,81605,2,no
LCA,790,1,0,832,0.738000,9851,9851,2,no
Binary Lifting,790,1,0,832,0.974700,11306,11306,2,no
Basic BFS,790,5,0,832,0.025000,131,131,23,no
TwoWays BFS,790,5,0,832,9.157500,81605,81605,23,no
LCA,790,5,0,832,0.754800,9851,9851,23,no
Binary Lifting,790,5,0,832,0.978700,11306,11306,23,no
Basic BFS,790,10,0,832,0.121000,1130,1130,95,no
TwoWays BFS,790,10,0,832,8.659100,81605,81605,95,no
LCA,790,10,0,832,0.770900,9851,9851,95,no
Binary Lifting,790,10,0,832,0.982200,11306,11306,95,no
Basic BFS,790,20,0,832,0.213200,2368,2368,0,no
TwoWays BFS,790,20,0,832,8.667900,81605,81605,0,no
LCA,790,20,0,832,0.803300,9851,9851,0,no
Binary Lifting,790,20,0,832,0.984700,11306,11306,0,no
Basic BFS,800,1,0,842,0.002600,5,5,2,no
TwoWays BFS,800,1,0,842,7.034700,64556,64556,2,no
LCA,800,1,0,842,0.719400,9212,9212,2,no
Binary Lifting,800,1,0,842,1.007700,11381,11381,2,no
Basic BFS,800,5,0,842,0.034000,151,151,30,no
TwoWays BFS,800,5,0,842,7.257700,64556,64556,30,no
LCA,800,5,0,842,0.747400,9212,9212,30,no
Binary Lifting,800,5,0,842,1.005300,11381,11381,30,no
Basic BFS,800,10,0,842,0.138700,1370,1370,113,no
TwoWays BFS,800,10,0,842,7.006800,64556,64556,113,no
LCA,800,10,0,842,0.752500,9212,9212,113,no
Binary Lifting,800,10,0,842,1.002700,11381,11381,113,no
Basic BFS,800,20,0,842,0.250400,2398,2398,0,no
TwoWays BFS,800,20,0,842,7.187400,64556,64556,0,no
LCA,800,20,0,842,0.735800,9212,9212,0,no
Binary Lifting,800,20,0,842,1.009700,11381,11381,0,no
Basic BFS,810,1,0,852,0.002600,5,5,2,no
TwoWays BFS,810,1,0,852,7.961000,73864,73864,2,no
LCA,810,1,0,852,0.767200,9784,9784,2,no
Binary Lifting,810,1,0,852,1.006000,11561,11561,2,no
Basic BFS,810,5,0,852,0.031800,136,136,24,no
TwoWays BFS,810,5,0,852,7.906400,73864,73864,24,no
LCA,810,5,0,852,0.776600,9784,9784,24,no
Binary Lifting,810,5,0,852,1.003400,11561,11561,24,no
Basic BFS,810,10,0,852,0.179900,1202,1202,101,no
TwoWays BFS,810,10,0,852,8.132200,73864,73864,101,no
LCA,810,10,0,852,0.766100,9784,9784,101,no
Binary Lifting,810,10,0,852,0.999100,11561,11561,101,no
Basic BFS,810,20,0,852,0.212300,2428,2428,0,no
TwoWays BFS,810,20,0,852,7.900300,73864,73864,0,no
LCA,810,20,0,852,0.763600,9784,9784,0,no
Binary Lifting,810,20,0,852,1.009700,11561,11561,0,no
Basic BFS,820,1,0,862,0.003600,5,5,2,no
TwoWays BFS,820,1,0,862,6.910800,62893,62893,2,no
LCA,820,1,0,862,0.721100,9404,9404,2,no
Binary Lifting,820,1,0,862,1.019500,11637,11637,2,no
Basic BFS,820,5,0,862,0.031600,144,144,28,no
TwoWays BFS,820,5,0,862,6.978200,62893,62893,28,no
LCA,820,5,0,862,0.749100,9404,9404,28,no
Binary Lifting,820,5,0,862,1.035100,11637,11637,28,no
Basic BFS,820,10,0,862,0.147000,1464,1464,121,no
TwoWays BFS,820,10,0,862,7.154000,62893,62893,121,no
LCA,820,10,0,862,0.751100,9404,9404,121,no
Binary Lifting,820,10,0,862,1.029100,11637,11637,121,no
Basic BFS,820,20,0,862,0.203700,2458,2458,0,no
TwoWays BFS,820,20,0,862,6.967500,62893,62893,0,no
LCA,820,20,0,862,0.748900,9404,9404,0,no
Binary Lifting,820,20,0,862,1.020800,11637,11637,0,no
Basic BFS,830,1,0,872,0.002700,5,5,2,no
TwoWays BFS,830,1,0,872,7.949100,73250,73250,2,no
LCA,830,1,0,872,0.764200,9817,9817,2,no
Binary Lifting,830,1,0,872,1.021900,11807,11807,2,no
Basic BFS,830,5,0,872,0.018400,153,153,31,no
TwoWays BFS,830,5,0,872,8.161000,73250,73250,31,no
LCA,830,5,0,872,0.781100,9817,9817,31,no
Binary Lifting,830,5,0,872,1.025300,11807,11807,31,no
Basic BFS,830,10,0,872,0.158000,1369,1369,108,no
TwoWays BFS,830,10,0,872,8.073700,73250,73250,108,no
LCA,830,10,0,872,0.773000,9817,9817,108,no
Binary Lifting,830,10,0,872,1.033100,11807,11807,108,no
Basic BFS,830,20,0,872,0.233100,2486,2486,2,no
TwoWays BFS,830,20,0,872,7.925300,73250,73250,2,no
LCA,830,20,0,872,0.816600,9817,9817,2,no
Binary Lifting,830,20,0,872,15.594600,11807,11807,2,no
Basic BFS,840,1,0,882,0.002900,5,5,2,no
TwoWays BFS,840,1,0,882,7.988400,72472,72472,2,no
LCA,840,1,0,882,0.751400,9825,9825,2,no
Binary Lifting,840,1,0,882,1.041500,11952,11952,2,no
Basic BFS,840,5,0,882,0.031100,133,133,24,no
TwoWays BFS,840,5,0,882,8.012200,72472,72472,24,no
LCA,840,5,0,882,0.792400,9825,9825,24,no
Binary Lifting,840,5,0,882,1.042000,11952,11952,24,no
Basic BFS,840,10,0,882,0.139200,1399,1399,126,no
TwoWays BFS,840,10,0,882,8.043900,72472,72472,126,no
LCA,840,10,0,882,0.785800,9825,9825,126,no
Binary Lifting,840,10,0,882,1.043700,11952,11952,126,no
Basic BFS,840,20,0,882,0.246500,2518,2518,0,no
TwoWays BFS,840,20,0,882,8.007800,72472,72472,0,no
LCA,840,20,0,882,0.768300,9825,9825,0,no
Binary Lifting,840,20,0,882,1.038000,11952,11952,0,no
Basic BFS,850,1,0,892,0.002600,5,5,2,no
TwoWays BFS,850,1,0,892,9.291700,86465,86465,2,no
LCA,850,1,0,892,0.801800,10616,10616,2,no
Binary Lifting,850,1,0,892,1.108200,12141,12141,2,no
Basic BFS,850,5,0,892,0.030000,135,135,22,no
TwoWays BFS,850,5,0,892,9.308300,86465,86465,22,no
LCA,850,5,0,892,0.839800,10616,10616,22,no
Binary Lifting,850,5,0,892,1.060500,12141,12141,22,no
Basic BFS,850,10,0,892,0.125700,1163,1163,104,no
TwoWays BFS,850,10,0,892,9.231300,86465,86465,104,no
LCA,850,10,0,892,0.832500,10616,10616,104,no
Binary Lifting,850,10,0,892,1.076600,12141,12141,104,no
Basic BFS,850,20,0,892,0.228500,2548,2548,0,no
TwoWays BFS,850,20,0,892,9.345100,86465,86465,0,no
LCA,850,20,0,892,0.821800,10616,10616,0,no
Binary Lifting,850,20,0,892,1.073300,12141,12141,0,no
Basic BFS,860,1,0,902,0.002700,5,5,2,no
TwoWays BFS,860,1,0,902,7.988500,72377,72377,2,no
LCA,860,1,0,902,0.781800,10058,10058,2,no
Binary Lifting,860,1,0,902,1.067100,12246,12246,2,no
Basic BFS,860,5,0,902,0.028300,153,153,31,no
TwoWays BFS,860,5,0,902,8.218700,72377,72377,31,no
LCA,860,5,0,902,0.800500,10058,10058,31,no
Binary Lifting,860,5,0,902,1.081700,12246,12246,31,no
Basic BFS,860,10,0,902,0.206600,1390,1390,108,no
TwoWays BFS,860,10,0,902,8.177900,72377,72377,108,no
LCA,860,10,0,902,0.863200,10058,10058,108,no
Binary Lifting,860,10,0,902,1.080600,12246,12246,108,no
Basic BFS,860,20,0,902,0.261000,2578,2578,0,no
TwoWays BFS,860,20,0,902,8.043000,72377,72377,0,no
LCA,860,20,0,902,0.813600,10058,10058,0,no
Binary Lifting,860,20,0,902,1.075500,12246,12246,0,no
Basic BFS,870,1,0,912,0.002800,5,5,2,no
TwoWays BFS,870,1,0,912,8.432600,77325,77325,2,no
LCA,870,1,0,912,0.781600,10227,10227,2,no
Binary Lifting,870,1,0,912,1.090700,12403,12403,2,no
Basic BFS,870,5,0,912,0.021600,153,153,31,no
TwoWays BFS,870,5,0,912,8.746500,77325,77325,31,no
LCA,870,5,0,912,0.816400,10227,10227,31,no
Binary Lifting,870,5,0,912,1.084500,12403,12403,31,no
Basic BFS,870,10,0,912,0.141500,1431,1431,118,no
TwoWays BFS,870,10,0,912,8.382500,77325,77325,118,no
LCA,870,10,0,912,0.834200,10227,10227,118,no
Binary Lifting,870,10,0,912,1.091100,12403,12403,118,no
Basic BFS,870,20,0,912,0.274400,2608,2608,0,no
TwoWays BFS,870,20,0,912,8.628800,77325,77325,0,no
LCA,870,20,0,912,0.836000,10227,10227,0,no
Binary Lifting,870,20,0,912,1.116800,12403,12403,0,no
Basic BFS,880,1,0,922,0.003000,5,5,2,no
TwoWays BFS,880,1,0,922,7.974200,73130,73130,2,no
LCA,880,1,0,922,0.793100,10387,10387,2,no
Binary Lifting,880,1,0,922,1.103600,12525,12525,2,no
Basic BFS,880,5,0,922,0.027100,141,141,25,no
TwoWays BFS,880,5,0,922,8.329600,73130,73130,25,no
LCA,880,5,0,922,0.814100,10387,10387,25,no
Binary Lifting,880,5,0,922,1.087600,12525,12525,25,no
Basic BFS,880,10,0,922,0.145700,1426,1426,129,no
TwoWays BFS,880,10,0,922,8.055000,73130,73130,129,no
LCA,880,10,0,922,0.824800,10387,10387,129,no
Binary Lifting,880,10,0,922,1.105700,12525,12525,129,no
Basic BFS,880,20,0,922,0.249300,2638,2638,0,no
TwoWays BFS,880,20,0,922,7.989300,73130,73130,0,no
LCA,880,20,0,922,0.805300,10387,10387,0,no
Binary Lifting,880,20,0,922,1.084700,12525,12525,0,no
Basic BFS,890,1,0,932,0.003100,5,5,2,no
TwoWays BFS,890,1,0,932,8.543700,78109,78109,2,no
LCA,890,1,0,932,0.790700,10554,10554,2,no
Binary Lifting,890,1,0,932,1.156300,12689,12689,2,no
Basic BFS,890,5,0,932,0.029500,151,151,30,no
TwoWays BFS,890,5,0,932,8.502700,78109,78109,30,no
